ticker,company_name,date,year,quarter,month,close_price,open_price,high_price,low_price,volume,shares_outstanding,revenue,revenue_millions,gross_profit,net_income,operating_income,ebitda,current_pe,forward_pe,current_ps,current_pb,peg_ratio,revenue_qoq_pct,revenue_yoy_pct,sector,industry,country,employees,year_quarter
ZPTA,Zapata Computing Holdings Inc.,2024-04-01 00:00:00-04:00,2024,2,4,1.350000023841858,15.449999809265137,15.5,1.350000023841858,53146195,0,2001000.0,2.001,721000.0,-15576000.0,-7372000.0,-15455000.0,,-0.28813562,1.1568639,-0.22222222,,,,Technology,Software - Infrastructure,United States,,2024-Q2
ZPTA,Zapata Computing Holdings Inc.,2024-05-01 00:00:00-04:00,2024,2,5,0.8501999974250793,1.350000023841858,1.4012999534606934,0.800000011920929,22868796,0,2001000.0,2.001,721000.0,-15576000.0,-7372000.0,-15455000.0,,-0.28813562,1.1568639,-0.22222222,,0.0,,Technology,Software - Infrastructure,United States,,2024-Q2
ZPTA,Zapata Computing Holdings Inc.,2024-06-01 00:00:00-04:00,2024,2,6,0.6000000238418579,0.8708000183105469,0.8899000287055969,0.5644000172615051,17800917,0,2001000.0,2.001,721000.0,-15576000.0,-7372000.0,-15455000.0,,-0.28813562,1.1568639,-0.22222222,,0.0,,Technology,Software - Infrastructure,United States,,2024-Q2
ZPTA,Zapata Computing Holdings Inc.,2024-07-01 00:00:00-04:00,2024,3,7,0.5723999738693237,0.5953999757766724,0.7773000001907349,0.506600022315979,33173147,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,,Technology,Software - Infrastructure,United States,,2024-Q3
ZPTA,Zapata Computing Holdings Inc.,2024-08-01 00:00:00-04:00,2024,3,8,0.5023999810218811,0.5525000095367432,0.7170000076293945,0.364300012588501,44562348,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2024-Q3
ZPTA,Zapata Computing Holdings Inc.,2024-09-01 00:00:00-04:00,2024,3,9,0.2711000144481659,0.5023999810218811,0.503000020980835,0.2709999978542328,13613173,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2024-Q3
ZPTA,Zapata Computing Holdings Inc.,2024-10-01 00:00:00-04:00,2024,4,10,0.013100000098347664,0.2750000059604645,0.2883000075817108,0.009999999776482582,1018261680,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2024-Q4
ZPTA,Zapata Computing Holdings Inc.,2024-11-01 00:00:00-04:00,2024,4,11,0.020999999716877937,0.013100000098347664,0.035100001841783524,0.004999999888241291,37084070,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2024-Q4
ZPTA,Zapata Computing Holdings Inc.,2024-12-01 00:00:00-05:00,2024,4,12,0.13500000536441803,0.020600000396370888,0.36500000953674316,0.012000000104308128,109852330,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2024-Q4
ZPTA,Zapata Computing Holdings Inc.,2025-01-01 00:00:00-05:00,2025,1,1,0.009999999776482582,0.13500000536441803,0.1688999980688095,0.0010999999940395355,14066776,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2025-Q1
ZPTA,Zapata Computing Holdings Inc.,2025-02-01 00:00:00-05:00,2025,1,2,0.009999999776482582,0.009999999776482582,0.019999999552965164,0.0026000000070780516,1102255,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2025-Q1
ZPTA,Zapata Computing Holdings Inc.,2025-03-01 00:00:00-05:00,2025,1,3,0.0005000000237487257,0.009999999776482582,0.009999999776482582,9.999999747378752e-05,2040590,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2025-Q1
ZPTA,Zapata Computing Holdings Inc.,2025-04-01 00:00:00-04:00,2025,2,4,0.008700000122189522,0.008799999952316284,0.008799999952316284,0.0005000000237487257,134304,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2025-Q2
ZPTA,Zapata Computing Holdings Inc.,2025-05-01 00:00:00-04:00,2025,2,5,0.0003000000142492354,0.008700000122189522,0.008700000122189522,9.999999747378752e-05,168239,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2025-Q2
ZPTA,Zapata Computing Holdings Inc.,2025-06-01 00:00:00-04:00,2025,2,6,0.019999999552965164,0.002400000113993883,0.02500000037252903,9.999999747378752e-05,1924079,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2025-Q2
ZPTA,Zapata Computing Holdings Inc.,2025-07-01 00:00:00-04:00,2025,3,7,0.003000000026077032,0.019999999552965164,0.019999999552965164,0.00019999999494757503,597261,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2025-Q3
ZPTA,Zapata Computing Holdings Inc.,2025-08-01 00:00:00-04:00,2025,3,8,0.009999999776482582,0.00019999999494757503,0.01964999921619892,0.00019999999494757503,463419,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2025-Q3
ZPTA,Zapata Computing Holdings Inc.,2025-09-01 00:00:00-04:00,2025,3,9,0.06499999761581421,0.009999999776482582,0.11424999684095383,0.0005000000237487257,2993053,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2025-Q3
ZPTA,Zapata Computing Holdings Inc.,2025-10-01 00:00:00-04:00,2025,4,10,0.17000000178813934,0.05999999865889549,0.20000000298023224,0.042149998247623444,2713681,0,,,,,,,,-0.28813562,1.1568639,-0.22222222,,0.0,0.0,Technology,Software - Infrastructure,United States,,2025-Q4
